ASV,Kingdom,Phylum,Class,Order,Family,Genus,Species,ACCHF1,ACCHF2,ACCHF3,ACCHM1,ACCHM3,CLPSF1,CLPSF3,CLPSM1,CLPSM2,CLPSM3,VIPSF2,VIPSM1,VIPSM2,WGSBF1,WGSBF2,WGSBM3,WOCHF1,WOCHF2,WOCHF3,WOCHM1,WOCHM2,WOCHM3
ASV39,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Pichiaceae,Pichia,deserticola,0.00043999,0,0.000291316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV4,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,Zygosaccharomyces,parabailii,0.011160349,0.01067938,0.007967393,0.002446872,0.01768143,0.008715019,0.009865411,0.007443338,0.005636757,0.011642001,0.00584228,0.001546535,0.000976293,0.015727957,0.00458282,0.011869475,0.016926883,0.020180337,0.019549123,0.021962667,0.002422705,0.027062201
ASV40,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,Zygosaccharomyces,bisporus,0,0,0,0,0,0.001386887,3.17877E-05,4.73371E-05,0,0,0,0,0,0,0.000110107,8.21325E-05,0,0,0,0,0,0
ASV41,Fungi,Ascomycota,NA,NA,NA,NA,NA,0,0,6.61269E-05,0,0.000166718,4.92121E-05,4.30069E-05,0.000107733,0.000170002,0.000103247,0,0,0,0,0,0,0,0,0,0,0,0
ASV42,Fungi,Ascomycota,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000725694,0.000187479,0.000256995,0,0,0,0,0,0
ASV43,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,Zygosaccharomyces,parabailii,0,0,0,0,7.79173E-06,0.000281851,2.24384E-05,3.59109E-05,6.46288E-05,5.87441E-05,0,0,0,0.000130694,0.000145817,0.000151018,0,1.19469E-05,8.29816E-06,5.55244E-05,0,2.13376E-05
ASV44,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Penicillium,NA,0,0,0,0,0,0.000134215,6.73152E-05,0.00015507,0.000155952,0.000153091,0,0,0,0,0,0,0,0,0,0,0,0
ASV45,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Pichiaceae,Pichia,deserticola,0.000299461,0,0,0.000278197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV46,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Pichiaceae,Pichia,deserticola,0.000322882,0,0,0.000251326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV47,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Bionectriaceae,Acremonium,alternatum,0,0,0,0,0,0,0,0,0,0,0.000354918,0.000112396,5.7429E-05,0,0,0,0,0,0,0,0,0
ASV48,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Penicillium,NA,0,0,0,0,0,0,0,0,0,0,0.000122003,0.000184713,4.64902E-05,0,0,0,0,0,0,0,0,0
ASV49,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Pichiaceae,Pichia,deserticola,0.000334593,0,0.000157275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV5,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,Zygosaccharomyces,parabailii,0.002368918,0.001943244,0.002251888,0.00054533,0.003555607,0.006603372,0.005804063,0.004219524,0.002009113,0.008330973,0.000230142,3.31089E-05,2.18777E-05,0.0027824,0.001139753,0.005624753,0.03473439,0.025661982,0.018559215,0.034999791,0.029010978,0.02622089
ASV50,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,Zygosaccharomyces,parabailii,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000595,0,0.000302036,0,0,0,0,0,0
ASV51,Fungi,Basidiomycota,Agaricomycetes,Thelephorales,Thelephoraceae,Tomentella,brunneoincrustata,8.86671E-05,4.1542E-05,0.000271656,5.6904E-05,2.49297E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV52,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Pichiaceae,Pichia,deserticola,0,4.1542E-05,2.85954E-05,0.000292423,6.85568E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV53,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,Zygosaccharomyces,bisporus,0,0,0,0,0.000225926,0,0,0,0,3.56024E-05,0,4.87921E-05,2.80308E-05,0,0,0,0,0,0,0,0,3.04824E-05
ASV55,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Debaryomycetaceae,Meyerozyma,smithsonii,0,0,0,0,0,0,0.000387062,3.26462E-05,1.26447E-05,4.09428E-05,0,0,3.42E-06,0,0,0,0,0,0,0,0,0
ASV56,Fungi,Ascomycota,NA,NA,NA,NA,NA,0,0,0,0,0,0,0.000379583,2.93816E-05,2.24796E-05,3.91627E-05,0,0,0,0,0,0,0,0,0,0,0,0
ASV57,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Pichiaceae,Pichia,deserticola,0,5.38508E-05,3.57442E-05,0.00018968,6.69987E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV58,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,Zygosaccharomyces,parabailii,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000135398,0,0.000166573,0.00017305,0
ASV59,Fungi,Ascomycota,Dothideomycetes,Cladosporiales,Cladosporiaceae,Cladosporium,herbarum,0,0,0,0,0,0,0,0,0,0,3.60464E-05,9.84555E-05,5.26433E-05,0,0,0,0,0,0,0,0,0
