ASV,Kingdom,Phylum,Class,Order,Family,Genus,Species,ACCHF1,ACCHF2,ACCHF3,ACCHM1,ACCHM3,CLPSF1,CLPSF3,CLPSM1,CLPSM2,CLPSM3,VIPSF2,VIPSM1,VIPSM2,WGSBF1,WGSBF2,WGSBM3,WOCHF1,WOCHF2,WOCHF3,WOCHM1,WOCHM2,WOCHM3
ASV111,Fungi,Ascomycota,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.2391E-05,0,0,0,0,0,0
ASV112,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Pichiaceae,Pichia,deserticola,0,2.15403E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV113,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Trichomonascaceae,Starmerella,apicola,0,0,0,0,0,0,0,0,0,0,0,1.2198E-05,0,0,0,0,0,0,0,0,0,0
ASV114,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Pichiaceae,Pichia,scaptomyzae,0,0,0,0,0,0,0,0,0,0,0,0,9.57152E-06,0,0,0,0,0,0,0,0,0
ASV115,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Pichiaceae,Pichia,kluyveri,2.17485E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV116,Fungi,Ascomycota,Leotiomycetes,Helotiales,Sclerotiniaceae,NA,NA,0,0,0,0,0,0,0,0,0,0,0,4.35646E-06,5.46944E-06,0,0,0,0,0,0,0,0,0
ASV117,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Pichiaceae,Pichia,kluyveri,0,0,0,0,0,0,0,0,0,0,0,0,8.88784E-06,0,0,0,0,0,0,0,0,0
ASV118,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Didymosphaeriaceae,Pseudopithomyces,chartarum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.19469E-05,1.45269E-05,0,0,0
ASV119,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Pichiaceae,Pichia,NA,2.00756E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV12,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Penicillium,paneum,0,0,0,0,0,0.017975846,0.006189255,0.008063616,0.016015303,0.014662869,5.54559E-05,0.000469624,0.000175705,0.000196041,1.48814E-05,0.000111276,0,0,0,0,0,0
ASV120,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Pichiaceae,Pichia,scaptomyzae,0,0,0,0,0,0,0,0,0,2.13615E-05,0,0,0,0,0,0,0,0,0,0,0,0
ASV13,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Trichomonascaceae,Starmerella,apicola,0,0,0,0,0,0.025303978,0.004287602,0.015404118,0.000250085,0.004055119,0,5.22772E-05,3.89697E-05,0,0,0,1.18222E-05,5.97556E-06,0,0,1.36618E-05,5.18199E-05
ASV15,Fungi,Ascomycota,NA,NA,NA,NA,NA,0.006434223,6.00052E-05,0.005831674,0.000150163,0.000168276,0.000447383,0.001632393,3.26462E-05,1.26447E-05,0.000395187,0,6.09902E-06,4.10208E-06,0.008295611,5.65413E-05,0.000294087,0,5.17699E-05,3.11292E-05,0,9.10795E-06,0.001313788
ASV16,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,Zygosaccharomyces,parabailii,0.001562549,0.001430892,0.001962359,0.000428361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012411808,0
