	ACCHF1	ACCHF2	ACCHF3	ACCHM1	ACCHM2	ACCHM3	ACPNF1	ACPNF2	ACPNF3	ACPNM1	ACPNM2	ACPNM3	CLPSF1	CLPSF2	CLPSF3	CLPSM1	CLPSM2	CLPSM3	CLSBF1	CLSBF2	CLSBF3	CLSBM1	CLSBM2	CLSBM3	GAPNF1	GAPNF2	GAPNM1	GAPNM2	VIPSF1	VIPSF2	VIPSF3	VIPSM1	VIPSM2	VIPSM3	WGSBF1	WGSBF2	WGSBF3	WGSBM1	WGSBM2	WGSBM3	WOCHF1	WOCHF2	WOCHF3	WOCHM1	WOCHM2	WOCHM3
ASV131	0	0	0	22.6700251889169	0	0	0	0	30.3030303030303	0	35.9712230215827	0	0	0	0	0	3.82262996941896	0	0	0	0	0	68.7022900763359	0	18.4331797235023	0	73.8255033557047	152.709359605911	0	0	0	55.3846153846154	14.9006622516556	0	9.19842312746386	0	3.50877192982456	19.1082802547771	0	0	0	0	0	0	0	0
ASV134	0	0	0	0	0	0	0	0	0	0	0	0	0	35	8.71459694989107	28.7907869481766	18.348623853211	35.7873210633947	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV136	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV137	0	0	0	0	0	0	0	0	0	0	89.9280575539568	0	8.67823765020027	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	52.9801324503311	0	27.5952693823916	0	0	0	0	31.7848410757946	0	0	0	0	28.6677908937605	21.0084033613445
ASV138	0	0	0	0	0	0	0	0	0	0	0	0	19.3591455273698	0	16.1220043572985	27.5111964171465	11.4678899082569	7.15746421267894	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV140	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV141	0	6.80272108843537	0	0	9.02527075812274	31.2712440516655	0	0	0	0	10.7913669064748	0	3.33778371161549	0	16.1220043572985	0	4.58715596330275	0	0	0	0	31.7848410757946	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV144	23.6861584011843	9.71817298347911	30.4093567251462	0	23.4657039711191	18.3548606390211	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.33496332518337	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV146	0	0	39.766081871345	0	0	17.675050985724	0	0	0	0	0	0	0.667556742323097	0	0.435729847494553	0	19.1131498470948	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23.6842105263158	0	24.5901639344262	0	0	0	0	0	0	0
ASV147	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	146.496815286624	0	0	0	0	0	169.683257918552	0	0
ASV148	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV150	0	0	0	0	0	0	0	5.92718035563082	66.1157024793389	0	53.9568345323741	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	94.3708609271523	0	0	0	0	0	0	34.2298288508557	0	0	0	0	0	0
ASV153	0	0	0	0	0	0	0	0	0	0	0	0	12.0160213618158	0	27.4509803921569	0	24.4648318042813	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV158	0	0	0	0	0	0	0	0	0	0	0	0	0	90	0	20.4734484964811	0	38.8548057259714	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
