OUT_ID	Kingdom	Phylum	Class	Order	Family	Genus
ASV_265	Bacteria	Proteobacteria	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Acetobacter
ASV_266	Bacteria	NA	NA	NA	NA	NA
ASV_267	Bacteria	NA	NA	NA	NA	NA
ASV_268	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	NA
ASV_269	NA	NA	NA	NA	NA	NA
ASV_270	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus
ASV_271	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Oxalobacteraceae	Massilia
ASV_272	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Levilactobacillus
ASV_273	Bacteria	Firmicutes	Limnochordia	Limnochordales	NA	NA
ASV_274	Bacteria	Actinobacteriota	Actinobacteria	Corynebacteriales	Corynebacteriaceae	Lawsonella
ASV_275	Bacteria	NA	NA	NA	NA	NA
ASV_276	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	NA
ASV_277	Bacteria	Bacteroidota	Bacteroidia	Sphingobacteriales	Sphingobacteriaceae	Sphingobacterium
ASV_278	Bacteria	NA	NA	NA	NA	NA
ASV_279	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	NA
ASV_280	Bacteria	NA	NA	NA	NA	NA
ASV_281	Bacteria	NA	NA	NA	NA	NA
ASV_282	Bacteria	NA	NA	NA	NA	NA
ASV_283	Bacteria	Firmicutes	Bacilli	Staphylococcales	Staphylococcaceae	Staphylococcus
ASV_284	Bacteria	Actinobacteriota	Actinobacteria	Corynebacteriales	Corynebacteriaceae	Corynebacterium
ASV_285	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Pseudoalteromonadaceae	Pseudoalteromonas
ASV_286	Bacteria	Firmicutes	Bacilli	Exiguobacterales	Exiguobacteraceae	Exiguobacterium
ASV_287	Bacteria	Firmicutes	Clostridia	NA	NA	NA
ASV_288	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Oceanobacillus
ASV_289	NA	NA	NA	NA	NA	NA
ASV_290	Bacteria	NA	NA	NA	NA	NA
ASV_291	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	NA
ASV_292	Bacteria	NA	NA	NA	NA	NA
ASV_293	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Morganellaceae	Providencia
ASV_294	Bacteria	NA	NA	NA	NA	NA
ASV_295	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	NA
ASV_296	Bacteria	NA	NA	NA	NA	NA
ASV_297	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia-Shigella
ASV_298	Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Microbacteriaceae	Leucobacter
ASV_299	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus
ASV_300	Bacteria	NA	NA	NA	NA	NA
ASV_301	Bacteria	NA	NA	NA	NA	NA
ASV_302	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	NA
ASV_303	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	NA
ASV_304	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	NA
ASV_305	Bacteria	NA	NA	NA	NA	NA
ASV_306	Bacteria	Proteobacteria	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Acetobacter
ASV_307	Bacteria	NA	NA	NA	NA	NA
ASV_308	Bacteria	NA	NA	NA	NA	NA
ASV_309	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Vibrionaceae	Vibrio
ASV_310	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	NA
ASV_311	Bacteria	NA	NA	NA	NA	NA
ASV_312	Bacteria	Firmicutes	Bacilli	Bacillales	Planococcaceae	NA
ASV_313	Bacteria	Actinobacteriota	Actinobacteria	Corynebacteriales	Corynebacteriaceae	Corynebacterium
ASV_314	Bacteria	NA	NA	NA	NA	NA
ASV_315	Bacteria	NA	NA	NA	NA	NA
ASV_316	Bacteria	NA	NA	NA	NA	NA
ASV_317	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	NA
ASV_318	Bacteria	Proteobacteria	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Acetobacter
ASV_319	Bacteria	Proteobacteria	Alphaproteobacteria	NA	NA	NA
ASV_320	Bacteria	Firmicutes	Bacilli	Paenibacillales	Paenibacillaceae	Fontibacillus
ASV_321	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	NA
ASV_322	Bacteria	Actinobacteriota	Actinobacteria	Propionibacteriales	Propionibacteriaceae	Cutibacterium
ASV_323	Bacteria	Actinobacteriota	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces
ASV_324	NA	NA	NA	NA	NA	NA
ASV_325	Bacteria	Cyanobacteria	Cyanobacteriia	Chloroplast	NA	NA
ASV_326	Bacteria	Proteobacteria	NA	NA	NA	NA
ASV_327	Bacteria	NA	NA	NA	NA	NA
ASV_328	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Weeksellaceae	Apibacter
ASV_329	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus
ASV_330	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Fructobacillus
ASV_331	Bacteria	Proteobacteria	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	NA
ASV_332	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium sensu stricto 1
ASV_333	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus
ASV_334	Bacteria	NA	NA	NA	NA	NA
ASV_335	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Pandoraea
ASV_336	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	NA
ASV_337	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Orbaceae	NA
ASV_338	Bacteria	NA	NA	NA	NA	NA
ASV_339	Bacteria	NA	NA	NA	NA	NA
ASV_340	Bacteria	NA	NA	NA	NA	NA
ASV_341	Bacteria	NA	NA	NA	NA	NA
ASV_342	Bacteria	Cyanobacteria	Cyanobacteriia	Chloroplast	NA	NA
ASV_343	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	NA
ASV_344	Archaea	NA	NA	NA	NA	NA
ASV_345	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	NA
ASV_346	Bacteria	Proteobacteria	NA	NA	NA	NA
ASV_347	Bacteria	NA	NA	NA	NA	NA
ASV_348	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	NA
ASV_349	Bacteria	NA	NA	NA	NA	NA
ASV_350	Bacteria	NA	NA	NA	NA	NA
ASV_351	Bacteria	Proteobacteria	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Gluconobacter
ASV_352	Bacteria	Actinobacteriota	Actinobacteria	Corynebacteriales	Nocardiaceae	Rhodococcus
ASV_353	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Fructilactobacillus
ASV_354	Bacteria	Actinobacteriota	Actinobacteria	Micromonosporales	Micromonosporaceae	Salinispora
ASV_355	Bacteria	Cyanobacteria	Cyanobacteriia	Chloroplast	NA	NA
ASV_356	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus
ASV_357	Bacteria	Proteobacteria	NA	NA	NA	NA
ASV_358	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus
ASV_359	Bacteria	NA	NA	NA	NA	NA
ASV_360	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	NA
ASV_361	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	NA
ASV_362	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	NA
ASV_363	Bacteria	NA	NA	NA	NA	NA
ASV_364	Bacteria	Firmicutes	Bacilli	Alicyclobacillales	Alicyclobacillaceae	Tumebacillus
ASV_365	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus
ASV_366	Bacteria	NA	NA	NA	NA	NA
ASV_367	Bacteria	NA	NA	NA	NA	NA
ASV_368	Bacteria	NA	NA	NA	NA	NA
ASV_369	Bacteria	NA	NA	NA	NA	NA
ASV_370	Bacteria	NA	NA	NA	NA	NA
ASV_371	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus
ASV_372	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Neisseriaceae	NA
ASV_373	Bacteria	NA	NA	NA	NA	NA
ASV_374	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	NA
ASV_375	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Anaplasmataceae	Wolbachia
ASV_376	Bacteria	Firmicutes	Bacilli	Staphylococcales	Staphylococcaceae	Staphylococcus
ASV_377	Bacteria	NA	NA	NA	NA	NA
ASV_378	NA	NA	NA	NA	NA	NA
ASV_379	Bacteria	Firmicutes	Bacilli	Thermoactinomycetales	Thermoactinomycetaceae	NA
ASV_380	Bacteria	NA	NA	NA	NA	NA
ASV_381	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Pseudoalteromonadaceae	Pseudoalteromonas
ASV_382	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	NA
ASV_383	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	NA	NA
ASV_384	Bacteria	NA	NA	NA	NA	NA
ASV_385	Bacteria	NA	NA	NA	NA	NA
ASV_386	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	NA
ASV_387	Bacteria	Firmicutes	Bacilli	Paenibacillales	Paenibacillaceae	Paenibacillus
ASV_388	Bacteria	Firmicutes	Bacilli	Staphylococcales	Staphylococcaceae	Staphylococcus
ASV_389	Bacteria	Bacteroidota	Bacteroidia	Sphingobacteriales	Sphingobacteriaceae	Sphingobacterium
ASV_390	NA	NA	NA	NA	NA	NA
ASV_391	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	NA
ASV_392	Bacteria	NA	NA	NA	NA	NA
ASV_393	Bacteria	NA	NA	NA	NA	NA
ASV_394	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Anaplasmataceae	Wolbachia
ASV_395	Bacteria	NA	NA	NA	NA	NA
ASV_396	Bacteria	NA	NA	NA	NA	NA
ASV_397	Bacteria	NA	NA	NA	NA	NA
ASV_398	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Anaerocolumna
ASV_399	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Vibrionaceae	Vibrio
ASV_400	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	NA
ASV_401	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Oceanobacillus
ASV_402	Bacteria	Actinobacteriota	Actinobacteria	Propionibacteriales	Nocardioidaceae	Aeromicrobium
ASV_403	Bacteria	Actinobacteriota	Actinobacteria	Corynebacteriales	Corynebacteriaceae	Corynebacterium
ASV_404	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Pseudoalteromonadaceae	Pseudoalteromonas
ASV_405	Bacteria	Firmicutes	Bacilli	Paenibacillales	Paenibacillaceae	Paenibacillus
ASV_406	Bacteria	NA	NA	NA	NA	NA
ASV_407	Bacteria	NA	NA	NA	NA	NA
ASV_408	Bacteria	NA	NA	NA	NA	NA
ASV_409	Bacteria	Firmicutes	Bacilli	Paenibacillales	Paenibacillaceae	Paenibacillus
ASV_410	NA	NA	NA	NA	NA	NA
ASV_411	Bacteria	NA	NA	NA	NA	NA
ASV_412	Bacteria	Cyanobacteria	Cyanobacteriia	NA	NA	NA
ASV_413	Bacteria	NA	NA	NA	NA	NA
ASV_414	Bacteria	NA	NA	NA	NA	NA
ASV_415	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	NA
ASV_416	Bacteria	Cyanobacteria	Cyanobacteriia	Chloroplast	NA	NA
ASV_417	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	NA
ASV_418	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	NA
ASV_419	Bacteria	NA	NA	NA	NA	NA
ASV_420	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Idiomarinaceae	Idiomarina
ASV_421	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	NA
ASV_422	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	NA
ASV_423	Bacteria	NA	NA	NA	NA	NA
ASV_424	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	NA
ASV_425	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	NA
ASV_426	Bacteria	NA	NA	NA	NA	NA
ASV_427	Bacteria	Actinobacteriota	Actinobacteria	Propionibacteriales	Propionibacteriaceae	NA
ASV_428	Bacteria	NA	NA	NA	NA	NA
ASV_429	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	NA
ASV_430	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	NA
ASV_431	Bacteria	Proteobacteria	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Commensalibacter
ASV_432	Bacteria	Firmicutes	Bacilli	Paenibacillales	Paenibacillaceae	Paenibacillus
ASV_433	Bacteria	NA	NA	NA	NA	NA
ASV_434	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Weeksellaceae	Chryseobacterium
ASV_435	Bacteria	NA	NA	NA	NA	NA
ASV_436	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	NA
ASV_437	Bacteria	NA	NA	NA	NA	NA
ASV_438	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Lentibacillus
ASV_439	Bacteria	Firmicutes	Bacilli	Bacillales	Planococcaceae	Sporosarcina
ASV_440	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	NA
ASV_441	NA	NA	NA	NA	NA	NA
ASV_442	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	NA
ASV_443	Bacteria	NA	NA	NA	NA	NA
ASV_444	Bacteria	NA	NA	NA	NA	NA
ASV_445	Bacteria	NA	NA	NA	NA	NA
ASV_446	Bacteria	NA	NA	NA	NA	NA
ASV_447	Bacteria	Actinobacteriota	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Gardnerella
ASV_448	Bacteria	Proteobacteria	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Gluconobacter
ASV_449	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Vibrionaceae	Vibrio
ASV_450	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	NA
ASV_451	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium sensu stricto 1
ASV_452	Bacteria	Actinobacteriota	Actinobacteria	Corynebacteriales	Corynebacteriaceae	Corynebacterium
ASV_453	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	Peptostreptococcaceae	Romboutsia
ASV_454	Bacteria	NA	NA	NA	NA	NA
ASV_455	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	NA
ASV_456	Bacteria	Patescibacteria	Parcubacteria	Candidatus Nomurabacteria	NA	NA
ASV_457	Bacteria	Proteobacteria	NA	NA	NA	NA
ASV_458	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	NA
ASV_459	Bacteria	Actinobacteriota	Actinobacteria	Propionibacteriales	Propionibacteriaceae	Cutibacterium
ASV_460	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas
ASV_461	Bacteria	Proteobacteria	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	NA
ASV_462	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas
ASV_463	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	NA
ASV_464	Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Brevibacteriaceae	Sediminivirga
